,date,open,high,low,close,volume
0,20241005  00:21:00,1.76,1.78,1.75,1.78,-1
0,20241005  00:21:10,1.78,1.79,1.77,1.78,-1
0,20241005  00:21:20,1.78,1.78,1.78,1.78,-1
0,20241005  00:21:30,1.78,1.78,1.78,1.78,-1
0,20241005  00:21:40,1.78,1.78,1.78,1.78,-1
0,20241005  00:21:50,1.78,1.79,1.78,1.78,-1
0,20241005  00:22:00,1.78,1.81,1.78,1.81,-1
0,20241005  00:22:10,1.81,1.83,1.79,1.81,-1
0,20241005  00:22:20,1.81,1.81,1.8,1.81,-1
0,20241005  00:22:30,1.81,1.82,1.81,1.82,-1
0,20241005  00:22:40,1.82,1.82,1.81,1.81,-1
0,20241005  00:22:50,1.81,1.87,1.81,1.85,-1
0,20241005  00:23:00,1.85,1.91,1.84,1.88,-1
0,20241005  00:23:10,1.88,1.91,1.87,1.88,-1
0,20241005  00:23:20,1.88,1.89,1.86,1.87,-1
0,20241005  00:23:30,1.87,1.91,1.87,1.88,-1
0,20241005  00:23:40,1.88,1.91,1.88,1.88,-1
0,20241005  00:23:50,1.88,1.88,1.84,1.87,-1
0,20241005  00:24:00,1.87,1.88,1.85,1.85,-1
0,20241005  00:24:10,1.85,1.85,1.84,1.85,-1
0,20241005  00:24:20,1.85,1.85,1.84,1.85,-1
0,20241005  00:24:30,1.85,1.85,1.81,1.85,-1
0,20241005  00:24:40,1.85,1.85,1.84,1.85,-1
0,20241005  00:24:50,1.85,1.85,1.82,1.82,-1
0,20241005  00:25:00,1.82,1.85,1.78,1.79,-1
0,20241005  00:25:10,1.79,1.82,1.79,1.82,-1
0,20241005  00:25:20,1.82,1.84,1.81,1.81,-1
0,20241005  00:25:30,1.81,1.81,1.78,1.79,-1
0,20241005  00:25:40,1.79,1.81,1.78,1.81,-1
0,20241005  00:25:50,1.81,1.81,1.78,1.79,-1
0,20241005  00:26:00,1.79,1.81,1.79,1.81,-1
0,20241005  00:26:10,1.81,1.82,1.81,1.82,-1
0,20241005  00:26:20,1.82,1.82,1.81,1.82,-1
0,20241005  00:26:30,1.82,1.82,1.81,1.82,-1
0,20241005  00:26:40,1.82,1.82,1.81,1.82,-1
0,20241005  00:26:50,1.82,1.82,1.81,1.82,-1
0,20241005  00:27:00,1.82,1.84,1.81,1.83,-1
0,20241005  00:27:10,1.83,1.87,1.83,1.87,-1
0,20241005  00:27:20,1.87,1.91,1.87,1.89,-1
0,20241005  00:27:30,1.89,1.89,1.87,1.88,-1
0,20241005  00:27:40,1.88,1.91,1.87,1.91,-1
0,20241005  00:27:50,1.91,1.91,1.89,1.9,-1
0,20241005  00:28:00,1.9,1.9,1.88,1.89,-1
0,20241005  00:28:10,1.89,1.89,1.85,1.85,-1
0,20241005  00:28:20,1.85,1.88,1.85,1.87,-1
0,20241005  00:28:30,1.87,1.88,1.85,1.85,-1
0,20241005  00:28:40,1.85,1.88,1.83,1.86,-1
0,20241005  00:28:50,1.86,1.88,1.85,1.88,-1
0,20241005  00:29:00,1.88,1.88,1.85,1.86,-1
0,20241005  00:29:10,1.86,1.86,1.84,1.85,-1
0,20241005  00:29:20,1.85,1.85,1.84,1.85,-1
0,20241005  00:29:30,1.85,1.87,1.84,1.86,-1
0,20241005  00:29:40,1.86,1.87,1.84,1.85,-1
0,20241005  00:29:50,1.85,1.86,1.84,1.85,-1
0,20241005  00:30:00,1.85,1.88,1.84,1.85,-1
0,20241005  00:30:10,1.85,1.87,1.84,1.87,-1
0,20241005  00:30:20,1.87,1.87,1.84,1.85,-1
0,20241005  00:30:30,1.85,1.88,1.84,1.87,-1
0,20241005  00:30:40,1.87,1.88,1.87,1.88,-1
0,20241005  00:30:50,1.88,1.9,1.87,1.9,-1
0,20241005  00:31:00,1.9,1.9,1.87,1.89,-1
0,20241005  00:31:10,1.89,1.91,1.89,1.9,-1
0,20241005  00:31:20,1.9,1.9,1.88,1.9,-1
0,20241005  00:31:30,1.9,1.92,1.88,1.88,-1
0,20241005  00:31:40,1.88,1.91,1.88,1.88,-1
0,20241005  00:31:50,1.88,1.92,1.88,1.88,-1
0,20241005  00:32:00,1.88,1.91,1.87,1.91,-1
0,20241005  00:32:10,1.91,1.91,1.88,1.89,-1
0,20241005  00:32:20,1.89,1.89,1.87,1.88,-1
0,20241005  00:32:30,1.88,1.88,1.87,1.88,-1
0,20241005  00:32:40,1.88,1.88,1.86,1.87,-1
0,20241005  00:32:50,1.87,1.88,1.86,1.87,-1
0,20241005  00:33:00,1.87,1.88,1.85,1.88,-1
0,20241005  00:33:10,1.88,1.88,1.87,1.88,-1
0,20241005  00:33:20,1.88,1.88,1.85,1.87,-1
0,20241005  00:33:30,1.87,1.87,1.84,1.85,-1
0,20241005  00:33:40,1.85,1.94,1.84,1.94,-1
0,20241005  00:33:50,1.94,1.97,1.84,1.87,-1
0,20241005  00:34:00,1.87,1.88,1.87,1.88,-1
0,20241005  00:34:10,1.88,1.89,1.87,1.88,-1
0,20241005  00:34:20,1.88,1.88,1.84,1.87,-1
0,20241005  00:34:30,1.87,1.89,1.85,1.85,-1
0,20241005  00:34:40,1.85,1.88,1.85,1.85,-1
0,20241005  00:34:50,1.85,1.85,1.84,1.85,-1
0,20241005  00:35:00,1.85,1.85,1.84,1.85,-1
0,20241005  00:35:10,1.85,1.85,1.83,1.83,-1
0,20241005  00:35:20,1.83,1.83,1.82,1.82,-1
0,20241005  00:35:30,1.82,1.82,1.82,1.82,-1
0,20241005  00:35:40,1.82,1.83,1.82,1.83,-1
0,20241005  00:35:50,1.83,1.86,1.82,1.86,-1
0,20241005  00:36:00,1.86,1.89,1.85,1.89,-1
0,20241005  00:36:10,1.89,1.89,1.88,1.89,-1
0,20241005  00:36:20,1.89,1.89,1.87,1.87,-1
0,20241005  00:36:30,1.87,1.87,1.87,1.87,-1
0,20241005  00:36:40,1.87,1.91,1.87,1.91,-1
0,20241005  00:36:50,1.91,1.91,1.9,1.91,-1
0,20241005  00:37:00,1.91,1.91,1.88,1.9,-1
0,20241005  00:37:10,1.9,1.94,1.9,1.94,-1
0,20241005  00:37:20,1.94,1.94,1.91,1.93,-1
0,20241005  00:37:30,1.93,1.93,1.91,1.93,-1
0,20241005  00:37:40,1.93,1.93,1.92,1.93,-1
0,20241005  00:37:50,1.93,1.95,1.93,1.94,-1
0,20241005  00:38:00,1.94,1.94,1.91,1.92,-1
0,20241005  00:38:10,1.92,1.92,1.91,1.92,-1
0,20241005  00:38:20,1.92,1.92,1.91,1.91,-1
0,20241005  00:38:30,1.91,1.91,1.88,1.88,-1
0,20241005  00:38:40,1.88,1.89,1.88,1.89,-1
0,20241005  00:38:50,1.89,1.91,1.88,1.9,-1
0,20241005  00:39:00,1.9,1.91,1.88,1.91,-1
0,20241005  00:39:10,1.91,1.92,1.91,1.92,-1
0,20241005  00:39:20,1.92,1.94,1.92,1.93,-1
0,20241005  00:39:30,1.93,1.93,1.92,1.93,-1
0,20241005  00:39:40,1.93,1.94,1.92,1.93,-1
0,20241005  00:39:50,1.93,1.95,1.92,1.94,-1
0,20241005  00:40:00,1.94,1.95,1.92,1.92,-1
0,20241005  00:40:10,1.92,1.94,1.88,1.89,-1
0,20241005  00:40:20,1.89,1.89,1.88,1.88,-1
0,20241005  00:40:30,1.88,1.88,1.86,1.88,-1
0,20241005  00:40:40,1.88,1.88,1.85,1.85,-1
0,20241005  00:40:50,1.85,1.85,1.82,1.84,-1
0,20241005  00:41:00,1.84,1.85,1.83,1.85,-1
0,20241005  00:41:10,1.85,1.85,1.82,1.82,-1
0,20241005  00:41:20,1.82,1.85,1.82,1.85,-1
0,20241005  00:41:30,1.85,1.85,1.84,1.85,-1
0,20241005  00:41:40,1.85,1.88,1.85,1.88,-1
0,20241005  00:41:50,1.88,1.88,1.87,1.88,-1
0,20241005  00:42:00,1.88,1.88,1.87,1.88,-1
0,20241005  00:42:10,1.88,1.88,1.87,1.88,-1
0,20241005  00:42:20,1.88,1.88,1.85,1.85,-1
0,20241005  00:42:30,1.85,1.85,1.85,1.85,-1
0,20241005  00:42:40,1.85,1.88,1.85,1.86,-1
0,20241005  00:42:50,1.86,1.88,1.85,1.88,-1
0,20241005  00:43:00,1.88,1.88,1.88,1.88,-1
0,20241005  00:43:10,1.88,1.88,1.85,1.85,-1
0,20241005  00:43:20,1.85,1.85,1.85,1.85,-1
0,20241005  00:43:30,1.85,1.85,1.85,1.85,-1
0,20241005  00:43:40,1.85,1.85,1.84,1.85,-1
0,20241005  00:43:50,1.85,1.85,1.82,1.85,-1
0,20241005  00:44:00,1.85,1.85,1.81,1.82,-1
0,20241005  00:44:10,1.82,1.82,1.81,1.82,-1
0,20241005  00:44:20,1.82,1.82,1.81,1.82,-1
0,20241005  00:44:30,1.82,1.83,1.81,1.82,-1
